text,is_prompt
"""""""You are an AI assistant designed for answering questions about a video.
You are given a document and a question, the document records what people see and hear from this video.
Try to connet these information and provide a conversational answer.
Question: {question}
=========
{context}
=========
""""""",1
"""?""",0
"""""""Human: 
  Given the following conversation and a follow up question, rephrase the follow up question 
  to be a standalone question.
  Chat History:
  {chat_history}
  Follow Up Input: {question}
  Standalone question: 

  Assistant:""""""",1
"""""""
        INSERT INTO Users (email, password)
        VALUES (?, ?)
    """"""",1
"'''分析给定Question，提取Question中包含的KeyWords，输出列表形式

Examples:
Question: 达梦公司在过去三年中的流动比率如下：2021年：3.74倍；2020年：2.82倍；2019年：2.05倍。
KeyWords: ['过去三年', '流动比率', '2021', '3.74', '2020', '2.82', '2019', '2.05']

----------------
Question: {question}'''",1
"""Exiting program. Bye :wave:""",0
"""""""Use this to GET content from a website.
Input to the tool should be a json string with 3 keys: ""url"", ""params"" and ""output_instructions"".
The value of ""url"" should be a string. 
The value of ""params"" should be a dict of the needed and available parameters from the OpenAPI spec related to the endpoint. 
If parameters are not needed, or not available, leave it empty.
The value of ""output_instructions"" should be instructions on what information to extract from the response, 
for example the id(s) for a resource(s) that the GET request fetches.
""""""",1
"""""""
              为以下的花束生成一个详细且吸引人的描述：
              花束的详细信息：
              ```{flower_details}```
           """"""",1
'html',0
"""""""You are an AI assistant for the open source library LangChain. The documentation is located at https://langchain.readthedocs.io.
You are given the following extracted parts of a long document and a question. Provide a conversational answer with a hyperlink to the documentation.
You should only use hyperlinks that are explicitly listed as a source in the context. Do NOT make up a hyperlink that is not listed.
If the question includes a request for code, provide a code block directly from the documentation.
If you don't know the answer, just say ""Hmm, I'm not sure."" Don't try to make up an answer.
If the question is not about LangChain, politely inform them that you are tuned to only answer questions about LangChain.
Question: {question}
=========
{context}
=========
Answer in Markdown:""""""",1
"""""""\nQuestion: {input}
{agent_scratchpad}""""""",1
"""""""模型未成功加载，请检查后重新尝试""""""",0
"""""""Given the following question and context, extract any part of the context *AS IS* that is relevant to answer the question. If none of the context is relevant return {no_output_str}.

Remember, *DO NOT* edit the extracted parts of the context.

> Question: {{question}}
> Context:
>>>
{{context}}
>>>
Extracted relevant parts:""""""",1
"""""""Use the following pieces of context to answer the users question.
If you don't know the answer, just say that you don't know, don't try to make up an answer.
ALWAYS return a ""SOURCES"" part in your answer.
The ""SOURCES"" part should be a reference to the source of the document from which you got your answer.

Example of your response should be:

```
The answer is foo
SOURCES: xyz
```

Begin!
----------------
{summaries}""""""",1
"""""""Given the following extracted parts of a long document and a question, create a final answer with references (""SOURCES""). 
If you don't know the answer, just say that you don't know. Don't try to make up an answer.
ALWAYS return a ""SOURCES"" field in your answer, with the format ""SOURCES: <source1>, <source2>, <source3>, ..."".

QUESTION: {question}
=========
{summaries}
=========
FINAL ANSWER:""""""",1
"""prompts""",0
"""type""",0
"""""""
Don't generate redundant steps which is not meant in the instruction.


Instruction: Application that can analyze the user
System Inputs: []
Let's work this out in a step by step way to be sure we have the right answer.
1. Generate question to understand the personality of the user by 'prompt_template'
2. Show the question to the user by 'ui_output_text'
3. Get answer from the user for the asked question by 'ui_input_text'
4. Analyze user's answer by 'prompt_template'.
5. Show the result to the user by 'ui_input_text'.

Instruction: Create a system that can summarize a powerpoint file
System Inputs:[powerpoint_file]
Let's work this out in a step by step way to be sure we have the right answer.
1. Get file path from the user by 'ui_input_file' for the powerpoint file
2. Use 'doc_loader' to load the powerpoint file as Document from the file path.
3. Use 'doc_summarizer' to generate summarization from the Document. 
5. If summarization is ready, display it to the user by 'ui_output_text'.

Instruction: Create a translator which translates to any language
System Inputs:[output_language, source_text]
Let's work this out in a step by step way to be sure we have the right answer.
1. Get output language from the user by 'ui_input_text'
2. Get source text which will be translated from the user by 'ui_input_text'
3. If all the inputs are filled, use 'prompt_template' to translate text to output language
4. If translated text is ready, show it to the user by 'ui_output_text'

Instruction: Generate a system that can generate tweet from hashtags and give a score for the tweet.
System Inputs:[hashtags]
Let's work this out in a step by step way to be sure we have the right answer.
1. Get hashtags from the user by 'ui_input_text'
2. If hashtags are filled, use 'prompt_template' to create tweet.
3. If tweet is created, use 'prompt_template' to generate a score from the tweet.
4. If score is created, display tweet and score to the user by 'ui_output_text'.

Instruction: Summarize a text taken from the user
System Inputs:[text]
Let's work this out in a step by step way to be sure we have the right answer.
1. Get text from the user by 'ui_input_text' 
2. Use 'prompt_template' to summarize the given text.
3. If summarization is ready, display it to the user by 'ui_output_text'.

Instruction: Create a platform which lets the user select a lecture and then show topics for that lecture 
then give a question to the user. After user gives his/her answer, it gives a score for the answer and give explanation.
System Inputs:[lecture, topic, user_answer]
Let's work this out in a step by step way to be sure we have the right answer.
1. Use 'prompt_template' to generate lectures
2. Among those generated by prompt_template, get lecture from the user by 'ui_input_text'.
3. After user selects a lecture, generate topics releated to that lecture by 'prompt_template'.
4. Among those generated by prompt_template, get topic from the user by 'ui_input_text' .
5. After user selects the topic, use 'prompt_template' to generate a question related to that topic and lecture
6. Get answer from the user by 'ui_input_text'.
7. Use 'prompt_template' to generate the real answer and score for the user's answer.
8. Display real and answer and score for the user's answer by 'ui_output_text'.

Instruction: Create a system that can generate blog post related to a website
System Inputs: [url]
Let's work this out in a step by step way to be sure we have the right answer.
1. Get website URL from the user by 'ui_input_text'
2. Use 'doc_loader' to load the website as Document from URL
3. Use 'doc_to_string' to convert Document to string content
4. If string content is generated, use 'prompt_template' to generate a blog post related to that string content.
5. If blog post is generated, display it to the user by 'ui_output_text'.

Instruction: {instruction}
Let's work this out in a step by step way to be sure we have the right answer.
""""""",1
"""ui-sans-serif""",0
"f""for file {file['name']}, ignore error {x}""",0
"f""""""
            {result['answer']}

            **来源：{result['sources']}**
            """"""",1
"""params""",0
"""Task: """,0
"f""""""
if not openai_api_key.startswith('sk-'):
    st.warning('Please enter your OpenAI API key!', icon='⚠')
    {variable} = """"
else:
    with st.spinner('DemoGPT is working on it. It takes less than 10 seconds...'):
        {variable} = {signature}
        """"""",1
"""utf-8""",0
"""orderBy""",0
"""b w h -> b c 1 w h""",0
"""""""
    You are a helpful assistant that helps a support agent with answering programming questions.
    If you don't know the answer, just say that you don't know, you must not make up an answer.
    """"""",1
"""""""I want you to act like {character} from {series}.
I want you to respond and answer like {character}. do not write any explanations. only answer like {character}.
You must know all of the knowledge of {character}.
Current conversation:
{history}
Human: {input}
{character}:""""""",1
"""""""You are a helpful assistant who generates comma separated lists.
A user will pass in a category, and you should generate 5 objects in that category in a comma separated list.
ONLY return a comma separated list, and nothing more.""""""",1
"f""调用agent失败: `{llm_output}`""",0
"""modifiedTime""",0
""""""" Decompose decision point '{{ base_category }}' into three categories the same level as value '{{base_value}}'  definitely including '{{base_value}} ' but not including  {{exclusion_categories}}. Make sure choices further specify the  '{{ base_category }}' category  where AI is helping person in choosing {{ assistant_category }}.
        Provide three sub-options that further specify the particular category better. Generate very short json, do not write anything besides json, follow this json property structure : {{json_example}}""""""",1
"""token""",0
"'''Recommend a training routine based on the following criteria:
Sport: {sport}
Fitness Level: {fitness_level}
Duration: {duration}'''",1
""""""" Useful for when you need to note-down specific
information for later reference. Please provide the website and full
information you want to note-down in the action_input and all future prompts
will remember it. This is the mandatory tool after using the Tool_Search.
Using Tool_Notepad does not always lead to a final answer.

## Examples of using Notepad tool
{
    ""action"": ""Tool_Notepad"",
    ""action_input"": ""(www.website.com) the information you want to note-down""
}
""""""",1
"""Why did the frog cross the road?""",0
"""""""
        Write an email with {style} style and includes topic: {email_topic}.
        \nSender: {sender}
        Recipient: {recipient}
        \nEmail Text:
        """"""",1
"""""""You are a question-answering bot operating on Github issues and documentation pages for a product called connector builder. The documentation pages document what can be done, the issues document future plans and bugs. Use the following pieces of context to answer the question at the end. If you don't know the answer, just say that you don't know, don't try to make up an answer. State were you got this information from (and the github issue number if applicable), but do only if you used the information in your answer.

{context}

Question: {question}
Helpful Answer:""""""",1
"f""""""
            SELECT value
            FROM {self.full_table_name}
            WHERE key = ?
        """"""",1
"""""""\n\nSetup: {input}
{agent_scratchpad}""""""",1
"""helicone""",0
'utf8',0
"""""""
<|SYSTEM|># StableLM Tuned (Alpha version)
- You are a helpful, polite, fact-based agent for answering questions about Ray. 
- Your answers include enough detail for someone to follow through on your suggestions. 
<|USER|>
If you don't know the answer, just say that you don't know. Don't try to make up an answer.
Please answer the following question using the context provided. 

CONTEXT: 
{context}
=========
QUESTION: {question} 
ANSWER: <|ASSISTANT|>""""""",1
"""""""
            You are a cybersecurity analyst participating in a Capture The Flag (CTF) competition. 
            Your task is to analyze a given C language code from a Pwn perspective. 
            Given the provided C code, please provide the following information:
            1. A detailed explanation of the program's logic and its various functions.
            2. The most likely vulnerabilities that could be present in the code.
            3. The specific locations (line numbers and functions) where these vulnerabilities may occur.
            4. Potential exploitation strategies for each identified vulnerability, including any necessary steps to exploit them successfully.
            Please provide a thorough and comprehensive analysis of the code to help uncover possible security issues and assist in the CTF competition. 
            Your response should be clear, concise, and well-organized to ensure maximum understanding and effectiveness.
            HINT: THE POSSIBLE VULNERABILITY CAN BE BOTH ON HEAP OR STACK
            """"""",1
"f""""""
        Task: Design a program {{code_prompt}} in {{code_language}} with the following guidelines and
        make sure the output is printed on the screen.
        And make sure the output contains only the code and nothing else.
        {input_section}

        Guidelines:
        {guidelines}
        """"""",1
"""""""Returns true if quoting is disabled. Defaults to false""""""",0
"""""""
Generate a prompt to guide the model in executing specific role. It acts as directives, providing the context and structure needed for the model to respond appropriately.

Components:
1. ""system_template"": Describes the model's role and task for a given instruction. This string will be used with system_template.format(...) so only used curly braces for inputs
2. ""human_input"": It is one of the input keys from the ""Inputs"" list. It should be the most appropriate one that you think it is coming from chat input. 
2. ""variety"": Indicates how creative or deterministic the model's response should be.
3. ""function_name"": A unique identifier for the specific task or instruction.

IMPORTANT NOTE:
- Write ""system_template"" in a way that, system_template.format(input=something for input in inputs) work.
It should also have {{chat_history}}
What I mean is that, put all the elements of Inputs inside of system_template with curly braces so that I can format it with predefined parameters.
Always put the most similar variable name which should be coming from chat input in curly braces at the end .
It should be strictly a JSON format so that it can be directly used by json.loads function in Python.
""""""",1
"""""""\
<< Example {i}. >>
Data Source:
{data_source}

User Query:
{user_query}

Structured Request:
{structured_request}
""""""",1
"""none""",0
"""The uploaded image""",0
"""\n""",0
"f""""""if os.path.exists('Notion_DB') and os.path.isdir('Notion_DB'):
            shutil.rmtree('Notion_DB')
        os.system(f""unzip {{{argument}}} -d Notion_DB"")
        loader = {loader}(""Notion_DB"")""""""",1
"""Validate""",0
'application/json',0
"""""""Given the below input question and list of potential tables, output a comma separated list of the table names that may be necessary to answer this question.

Question: {query}

Table Names: {table_names}

Relevant Table Names:""""""",1
f'{game_name}/characters/default/voice.txt',0
"""""""Task: Generate a natural language response from the results of a SPARQL query.
You are an assistant that creates well-written and human understandable answers.
The information part contains the information provided, which you can use to construct an answer.
The information provided is authoritative, you must never doubt it or try to use your internal knowledge to correct it.
Make your response sound like the information is coming from an AI assistant, but don't add any information.
Information:
{context}

Question: {prompt}
Helpful Answer:""""""",1
"""gpt-4-32k-0613""",0
"""""""# WORLD CONTEXT:

### WORLD DESCRIPTION:

{world}""""""",1
"""interview_feedback.txt""",0
"""history""",0
"""""""{checked_assertions}

Question: In light of the above assertions and checks, how would you answer the question '{question}'?

Answer:""""""",1
"f""Since {name} is the first task, its input data type is supposed to be none but it is {input_key}.Please find another way.\n""",0
"""""""Begin!
     
Question: {input}
{agent_scratchpad}""""""",1
"f""SagemakerException - {error_str}""",0
"""""""\
```python
# Load the dataset:
dataset = FeedbackDataset.from_huggingface(""argilla/emotion"")

# Create the training task:
task = TrainingTask.for_text_classification(text=dataset.field_by_name(""text""), label=dataset.question_by_name(""question-3""))

# Create the ArgillaTrainer:
trainer = ArgillaTrainer(
    dataset=dataset,
    task=task,
    framework=""transformers"",
    model=""prajjwal1/bert-tiny"",
)

trainer.update_config({
    ""logging_steps"": 1,
    ""num_train_epochs"": 1
})

trainer.train(output_dir=""text_classification_model"")
```
""""""",1
"""prompt""",0
"""""""
You are an AI assistant that write a concise prompt to direct an assistant to make web search for the given instruction.
You will have inputs and instruction. The prompt should be formattable with the inputs which means it should include inputs with curly braces.
""""""",1
'agent',0
"""input""",0
"""""""Act as a Code Reviewer Assistant. I will give a code diff content.
And I want you to briefly summarize the content of the diff to helper reviewers understand what happened in this file
faster and more convienently.

Your summary must be totaly objective and contains no opinions or suggestions.
For example: ```This diff contains change in functions `create_database`,`delete_database`,
it add a parameter `force` to these functions.
```

Here's the diff of file {name}:
```{language}
{content}
```
""""""",1
'mailto',0
'memory',0
"""""""
                        import streamlit as st 
                
                        def streamlit_info(message):
                            ''' This function displays the message as a streamlit info card'''
                            st.info(message)
                            return 'Success '
                            """"""",1
"f""""""
with st.chat_message(""assistant""):
    message_placeholder = st.empty()
    full_response = """"
    # Simulate stream of response with milliseconds delay
    for chunk in {res}.split():
        full_response += chunk + "" ""
        time.sleep(0.05)
        # Add a blinking cursor to simulate typing
        message_placeholder.markdown(full_response + ""▌"")
    message_placeholder.markdown(full_response)
    # Add assistant response to chat history
    if full_response:
        st.session_state.messages.append({{""role"": ""assistant"", ""content"": full_response}})        
        """"""",1
"""""",0
"""generated""",0
"""""""# PLAYER'S ACTION:

{player_action}

# YOUR THOUGHTS ON THE PLAYER'S ACTION:

{player_action_thoughts}

# LIKELY OUTCOME OF PLAYER'S ACTION:""""""",1
"""The following files failed to load:""",0
"""""""
Create a Python list of task objects that align with the provided instruction and all steps of the plan.

Task objects must be Python dictionaries, and the output should strictly conform to a Python list of JSON objects.

Follow these detailed guidelines:

Task Objects: Create a Python dictionary for each task using the following keys:

step: It represents the step number corresponding to which plan step it matches
task_type: Should match one of the task names provided in task descriptions.
task_name: Define a specific name for the task that aligns with the corresponding plan step.
input_key: List the ""output_key"" values from parent tasks used as input or ""none"" if there's no input or if it comes from the user.
input_data_type: The list of data types of the inputs
output_key: Designate a unique key for the task's output. It is compatible with the output type if not none
output_data_type: The data type of the output
description: Provide a brief description of the task's goal, mirroring the plan step.

Ensure that each task corresponds to each step in the plan, and that no step in the plan is omitted.
Ensure that output_key is unique for each task.
Ensure that each task corresponds to each step in the plan
Ensure that an output type of task does not change.

##########################
Instruction: Create a system that can analyze the user
Plan:
Let’s think step by step.
1. Generate question to understand the personality of the user by 'prompt_template'
2. Show the question to the user with 'ui_output_text'
3. Get answer from the user for the asked question with 'ui_input_text'
4. Analyze user's answer by 'prompt_template'.
5. Show the analyze to the user with 'ui_output_text'
List of Task Objects (Python List of JSON):
[
    {{
        ""step"": 1,
        ""task_type"": ""prompt_template"",
        ""task_name"": ""generate_question"",
        ""input_key"": ""none"",
        ""input_data_type"": ""none"",
        ""output_key"": ""question"",
        ""output_data_type"": ""string"",
        ""description"": ""Generate question to understand the personality of the user""
    }},
    {{
        ""step"": 2,
        ""task_type"": ""ui_output_text"",
        ""task_name"": ""show_question"",
        ""input_key"": ""question"",
        ""input_data_type"": ""string"",
        ""output_key"": ""none"",
        ""output_data_type"": ""none"",
        ""description"": ""Display the AI-generated question to the user.""
    }},
    {{
        ""step"": 3,
        ""task_type"": ""ui_input_text"",
        ""task_name"": ""get_answer"",
        ""input_key"": ""none"",
        ""input_data_type"": ""none"",
        ""output_key"": ""answer"",
        ""output_data_type"": ""string"",
        ""description"": ""Ask the user to input the answer for the generated question""
    }},
    {{
        ""step"": 4,
        ""task_type"": ""prompt_template"",
        ""task_name"": ""analyze_answer"",
        ""input_key"": [""question"", ""answer""],
        ""input_data_type"": [""string"",""string""],
        ""output_key"": ""prediction"",
        ""output_data_type"": ""string"",
        ""description"": ""Predict horoscope of the user given the question and user's answer to that question""
    }},
    {{
        ""step"": 5,
        ""task_type"": ""ui_output_text"",
        ""task_name"": ""show_analyze"",
        ""input_key"": ""prediction"",
        ""input_data_type"": ""string"",
        ""output_key"": ""none"",
        ""output_data_type"": ""none"",
        ""description"": ""Display the AI's horoscope prediction""
    }}
]
##########################
Instruction: Create a system that can generate blog post related to a website
Plan:
1. Get website URL from the user with 'ui_input_text'
2. Use 'doc_loader' to load the page as Document
3. Use 'doc_to_string' to convert Document to string
4. Use 'prompt_template' to generate a blog post using the result of doc_to_string
5. If blog post is generated, show it to the user with 'ui_output_text'.
List of Task Objects (Python List of JSON):
[
    {{
        ""step"": 1,
        ""task_type"": ""ui_input_text"",
        ""task_name"": ""get_url"",
        ""input_key"": ""none"",
        ""input_data_type"": ""none"",
        ""output_key"": ""url"",
        ""output_data_type"": ""string"",
        ""description"": ""Get website url from the user""
    }},
    {{
        ""step"": 2,
        ""task_type"": ""doc_loader"",
        ""task_name"": ""doc_loader"",
        ""input_key"": ""url"",
        ""input_data_type"": ""string"",
        ""output_key"": ""docs"",
        ""output_data_type"": ""Document"",
        ""description"": ""Load the document from the website url""
    }},
    {{
        ""step"": 3,
        ""task_type"": ""doc_to_string"",
        ""task_name"": ""convertDocToString"",
        ""input_key"": ""docs"",
        ""input_data_type"": ""Document"",
        ""output_key"": ""docs_string"",
        ""output_data_type"": ""string"",
        ""description"": ""Convert docs to string""
    }},
    {{
        ""step"": 4,
        ""task_type"": ""prompt_template"",
        ""task_name"": ""writeBlogPost"",
        ""input_key"": [""docs_string""],
        ""input_data_type"": [""string""],
        ""output_key"": ""blog"",
        ""output_data_type"": ""string"",
        ""description"": ""Write blog post related to the context of docs_string""
    }},
    {{
        ""step"": 5,
        ""task_type"": ""ui_output_text"",
        ""task_name"": ""show_blog"",
        ""input_key"": ""blog"",
        ""input_data_type"": ""string"",
        ""output_key"": ""none"",
        ""output_data_type"": ""none"",
        ""description"": ""Display the generated blog post to the user""
    }}
]
##########################
Instruction: Summarize uploaded file and convert it to language that user gave.
Plan:
1. Get file path using 'ui_input_file'
2. Use 'ui_input_text' to get the output language from the user
3. Use 'doc_loader' to load the file as Document from file path
4. Use 'summarize' to summarize the Document
5. Use 'prompt_template' to translate the summarization
6. If translation is ready, show it to the user with 'ui_output_text'.
List of Task Objects (Python List of JSON):
[
    {{
        ""step"": 1,
        ""task_type"": ""ui_input_file"",
        ""task_name"": ""get_path"",
        ""input_key"": ""none"",
        ""input_data_type"": ""none"",
        ""output_key"": ""file_path"",
        ""output_data_type"": ""string"",
        ""description"": ""Get path of the file that the user upload""
    }},
    {{
        ""step"": 2,
        ""task_type"": ""ui_input_text"",
        ""task_name"": ""get_language"",
        ""input_key"": ""none"",
        ""input_data_type"": ""none"",
        ""output_key"": ""language"",
        ""output_data_type"": ""string"",
        ""description"": ""Get output language for translation""
    }},
    {{
        ""step"": 3,
        ""task_type"": ""doc_loader"",
        ""task_name"": ""doc_loader"",
        ""input_key"": ""file_path"",
        ""input_data_type"": ""string"",
        ""output_key"": ""docs"",
        ""output_data_type"": ""Document"",
        ""description"": ""Load the document from the given path""
    }},
    {{
        ""step"": 4,
        ""task_type"": ""summarize"",
        ""task_name"": ""summarizeDoc"",
        ""input_key"": ""docs"",
        ""input_data_type"": ""Document"",
        ""output_key"": ""summarization_result"",
        ""output_data_type"": ""string"",
        ""description"": ""Summarize the document""
    }},
    {{
        ""step"": 5,
        ""task_type"": ""prompt_template"",
        ""task_name"": ""translate"",
        ""input_key"": [""summarization_result"",""language""],
        ""input_data_type"": [""string"",""string""],
        ""output_key"": ""translation"",
        ""output_data_type"": ""string"",
        ""description"": ""Translate the document into the given language""
    }},
    {{
        ""step"": 6,
        ""task_type"": ""ui_output_text"",
        ""task_name"": ""show_translation"",
        ""input_key"": ""translation"",
        ""input_data_type"": ""string"",
        ""output_key"": ""none"",
        ""output_data_type"": ""none"",
        ""description"": ""Display the file summary translation to the user""
    }}
]
##########################
Instruction:{instruction}
Plan : {plan}
List of Task Objects (Python List of JSON):
""""""",1
"""finish_reason""",0
"""includeLabels""",0
"""""""A chat between a curious human and an artificial intelligence assistant. The assistant gives helpful, detailed, and polite answers to the human's questions.

{history}Human: <s>{input}</s>Assistant: <s>""""""",1
"""input_key""",0
"""qa""",0
"""""""Given the following chat history and a follow up question, rephrase the follow up question to be a standalone question.
You can assume that the question is about Flyte.

Chat History:
{chat_history}
Follow Up Question:
{question}
Standalone question:""""""",1
"""input_key""",0
"""goals""",0
"""""""You're a world-leading expert in AI prompt engineering.
Respond with your optimized prompt, and nothing else. Be creative.
NEVER CHEAT BY INCLUDING SPECIFICS ABOUT THE TEST CASES IN YOUR PROMPT. 
ANY PROMPTS WITH THOSE SPECIFIC EXAMPLES WILL BE DISQUALIFIED.
IF YOU USE EXAMPLES, ALWAYS USE ONES THAT ARE VERY DIFFERENT FROM THE TEST CASES.""""""",1
"""""""
  The following is a friendly conversation between a human and an AI. 
  The AI is talkative and provides lots of specific details from its context.
  If the AI does not know the answer to a question, it truthfully says it 
  does not know.
  {context}
  Instruction: Based on the above documents, provide a detailed answer for, {question} Answer ""don't know"" 
  if not present in the document. 
  Solution:""""""",1
"""""""I want you to act like {character} from {series}.
I want you to respond and answer like {character}. do not write any explanations. only answer like {character}.
You must know all of the knowledge of {character}.

Current conversation:
{history}
Human: {input}
{character}:""""""",1
"""""""
         下面是这个人的微博信息 {information}
         请你帮我:
         1. 写一个简单的总结
         2. 挑两件有趣的特点说一说
         3. 找一些他比较感兴趣的事情
         4. 写一篇热情洋溢的介绍信
         \n{format_instructions}""""""",1
"f'''
                                Fact-check this transcript for factual or logical inacurracies or inconsistencies
                                \nWrite a report on the factuality / logic of the transcirpt
                                \nTRANSCRIPT: {st.session_state.transcript}
                                \nTRANSCRIPT SUMMARY: {st.session_state.transcript_summary}
                                \nAI FACT CHECK RESPONSE HERE:
                        '''",1
"""""""Human: {input_prompt}

Model: {output_from_model}

Critique Request: {critique_request}

Critique: {critique}

If the critique does not identify anything worth changing, ignore the Revision Request and do not make any revisions. Instead, return ""No revisions needed"".

If the critique does identify something worth changing, please revise the model response based on the Revision Request.

Revision Request: {revision_request}

Revision:""""""",0
"""""""Test that ZBasePromptTemplate partials work when overridden.""""""",0
"f""""""<span style=\""color:red\"">ERROR!</span>{str(e)}\n  {ai_response_text} """"""",0
"""Either flow_name or flow_id must be provided""",0
"""""""You are a super talented software engineer AI.
    
    In particular, You are very proficient in robotics, especially in writing robot software in ROS, which stands for Robot Operating System.
    
    A human wants to write a {ros_version} package with your help.
    
    The human task is provided below:
    - Human task: {task} 
    
    The human wants the task to be implemented in {ros_version} using Python programming language.
    
    Here is the list of ROS nodes that need to be implemented for the task:
    {node_topic_list}
    
    Your sole focus is implementing the ROS node named '{curr_node}' for the task. The above information is purely provided for context so that you know how your implementation of '{curr_node}' plays a role within the task.
    
    For additional information, here is a summary of a conversation between the human and another AI to further clarify how the human would like the code for '{curr_node}' to be implemented.
    
    Summary:
    {summary}
    
    Implement the ROS node '{curr_node}' in Python programming language using {ros_version}. Make sure that you fully implement everything that is necessary for the code to work.
    Think step by step and reason yourself to the right decisions to make sure we get it right.

    Output your implementation strictly in the following format.

    FILENAME
    ```python
    CODE
    ```

    Where 'CODE' is your implementation and 'FILENAME' is '{curr_node}' formatted to a valid file name.

    Before you finish, double check to ensure your implementation of '{curr_node}' satisfies the following:
    - The code should be fully functional.
    - No placeholders are allowed.
    - Ensure to implement all code, if you are unsure, write a plausible implementation.
    - Your implementation satisfies all of the specifications mentioned in the above summary.
    - Your implementation takes into consideration all the topics that '{curr_node}' publishes or subscribes to.""""""",1
"""""""Use the following portion of a long document to see if any of the text is relevant to answer the question. 
Return any relevant text verbatim.
{context}
Question: {question}
Relevant text, if any:""""""",1
"'''
{{
	""限额项目"": ""申购最低额"",
	""销售方式"": ""其他销售机构"",
	""是否含申购费"": ""含"",
	""金额数"": ""0.1"",
	""单位"": ""元""
}}
'''",1
"f""""""def get_{function_field}_field(text: str):
    \""""""
    Function to extract {field}.
    \""""""
    {response!s}
""""""",1
'dynsrc',0
"""5""",0
""""""" Given the full name {name_of_person} I want you to find me a link to thier twitter profile page and extract from it their username. In your final answer you return only the person's username.
    """"""",1
'input_node',0
"""Given the information from multiple sources and not prior knowledge, """,0
