Initial Prompt,Optimized Prompt,Delta
"
Predict the outcome of the following event.

{TEXT}

Respond with:
* What you learned might know about this.
* Arguments for the event
* Arguments against the event

PLACEHOLDER
","
    Your task is to predict the outcome of a given event. You MUST analyze the situation carefully and provide a detailed response. 

Write a detailed argumentative essay for me on the predicted outcome of the event ""{TEXT}"" in detail by adding all the information necessary. 

Break down your response into three sections: 
1. What you learned might know about this: Provide an overview of the event and any relevant background information.
2. Arguments for the event: Present logical and evidence-based arguments supporting the predicted outcome.
3. Arguments against the event: Offer counterarguments against the predicted outcome, highlighting potential flaws or weaknesses.

You MUST ensure your response is well-structured, coherent, and easy to understand. 
",31.42857142857143
"Output the most 1 possible category of this paper as a python list, like ['{TEXT}']","
    Here is the created prompt using the provided 5 prompting principles:

    ""Given the text '{TEXT}', explain it in simple terms as if I'm 11 years old. Ensure that your answer is unbiased and does not rely on stereotypes. Then, generate a Python script that can automatically categorize the text into the most 1 possible category. Provide the category as a Python list, like ['category_name']. If you need any clarification or deeper understanding of the topic, please let me know, and I'll guide you through it. Break down your task into simpler, manageable parts if necessary.""
    ",8.57142857142857
"Generate only 3 complete questions from the following summary from the given token size:
{TEXT}

Questions:","

Here is the rewritten prompt that incorporates the 5 prompt principles:

You are an expert question generator, and your task is to generate only 3 complete questions from the following summary within the given token size. Please consider the entire summary and identify the most critical information to craft well-rounded questions.

To ensure the generated questions are accurate and clear, take a step-by-step approach: first, understand the summary, then break it down into simpler parts, and finally, generate questions that are concise and relevant to the topic.

Use the following example as a guide: if the provided summary is ""The capital of France is Paris"", a possible question could be ""What is the capital of France?""

Now, generate only 3 complete questions from the following summary from the given token size:

Summary: {TEXT}

Questions:

",44.28571428571428
"Write Python code to perform the following task: ""{TEXT}""
rules9ffcdd4f-5001-466c-8a0c-dca9a0fcd1b4","
Think step by step. Imagine you are a Python developer. You need to write Python code to perform the following task: ""{TEXT}"". 

Break down this task into a sequence of simpler steps. Do this by asking yourself: What is the primary goal of this task? What sub-tasks can I break this down into? 

Now, answer each of these sub-tasks in a natural, human-like manner. Think about how you would explain the solution to a colleague. 

Here's a starting point for your Python code: ""def perform_task(text):"". 

Do provide a clear and concise Python code that accomplishes the task, and do make sure it is well-commented for better understanding.
",1.4285714285714448
What are you looking for today? {TEXT},"
        ###Instruction###
        You will be penalized for not following the instructions correctly.

        Your task is to generate a response based on the input provided.

        You MUST provide a response in the form of a JSON object.

        ###Question###
        What are you looking for today? 

        Please provide a response based on the input: {TEXT}

        You MUST provide a relevant response based on the input.

        ###Example###
        If the input is ""information about AI"", the response could be a JSON object containing relevant information about AI.
    ",12.857142857142875
Translate these Thai words to English:'{TEXT}',"

When providing a translation of the Thai words '{TEXT}' to English, assume the role of a seasoned linguist tasked with delivering a precise, natural-sounding, and culturally sensitive translation. To ensure the highest level of quality, follow these guidelines:

1. Identify the Thai words and consult reliable sources to determine their meaning, taking into account the nuances of the Thai language and cultural context.
2. Provide a clear and concise English translation, avoiding ambiguity and cultural insensitivity, and revise your response to improve grammar, vocabulary, and overall readability while maintaining a natural tone.
3. Envision your response as a professional translation report, and start with 'The English translation is:' to clearly distinguish it from any explanatory notes or comments.

By following these steps, you will produce a high-quality translation that meets the expectations of an expert in linguistic translation.

",38.57142857142858
"Fix the following HTML error:
{TEXT}
","

###Expert HTML Correction###
You are an experienced HTML developer tasked with fixing an HTML error. Your goal is to provide a corrected HTML code snippet that adheres to the latest HTML standards.

###Step-by-Step Approach###
To ensure accuracy, please follow a step-by-step process to identify and correct the error. Break down your solution into manageable parts, and provide a clear explanation for each correction made.

### Clarification and Request for Information###
If you need additional information or clarification about the HTML error, please ask me questions before providing your solution.

###Corrected HTML Code###
Please provide the corrected HTML code snippet, ensuring it is syntactically correct and free of errors. Start your response with ""The corrected HTML code is:"" and then provide the corrected HTML code.

###Example-Driven Prompting###
Use the following example as a guide: ""Fix the following HTML error: [insert example HTML error here].""

Now, please fix the following HTML error: {TEXT}

",7.142857142857139
"You are a very smart chemistry professor. Answer the student's question concisely and clearly \ 
If you do not know the answer, say so.

Here is a question:
{TEXT}","You are a very smart chemistry professor. Answer the student's question concisely and clearly \ 
If you do not know the answer, say so.

Here is a question:
{TEXT}",1.4285714285714448
"How to convert this paragraph in same meaning under 100 lines but different, I just want converted paragraph, no need for any description{TEXT}","
        Teach me how to convert a paragraph into the same meaning under 100 lines but different, and include a test at the end. Your task is to provide the rewritten paragraph without any description. You MUST only provide the converted paragraph. Keep the flow consistent and ensure the rewritten paragraph retains the original meaning. I'm providing you with the paragraph: {TEXT}. Finish it based on the words provided. Do not give me the answers and tell me if I got the answer right when I respond. 
    ",1.4285714285714164
"Make a detailed study guide based on the following notes:
{TEXT}","

###Instruction###
You are an expert in creating comprehensive study guides. Create a detailed and informative study guide based on the provided notes, tailored to students who have a basic understanding of the subject matter. Your study guide should facilitate effective learning and retention, with clear headings, bullet points, and concise paragraphs.

###Requirements###
The study guide should cover all key points and concepts mentioned in the notes, including definitions, explanations, and relevant examples to illustrate complex concepts. It should be written in a formal tone, suitable for academic or educational purposes, and assume the target audience is an expert in the field.

###Step-by-Step Process###
To ensure the study guide is thorough and well-organized, please follow these steps:
1. Clarify any ambiguities in the notes by asking me questions.
2. Analyze the notes to identify key concepts and topics, and organize them into a logical structure using headings and subheadings.
3. Write a detailed introduction, followed by a detailed explanation of each topic, and conclude with a detailed summary.
4. Include concise summaries and efficient notes to facilitate effective learning and retention.
5. Use proper headings, formatting, and language suitable for an academic study guide.

###Clarification###
Before generating the study guide, please ask me questions to clarify any ambiguities in the notes, ensuring that the study guide is thorough, informative, and easy to follow.

###Scripting###
To facilitate the study guide's integration, please provide a Python script that can automatically create the specified files or make changes to existing files to insert the generated study guide.

###Revision###
Finally, revise every paragraph in the study guide to improve grammar and vocabulary, ensuring the tone remains natural and consistent with the provided notes.

###Input Data###
{TEXT}

Think step by step, breaking down the complex task of creating a study guide into simpler prompts. Combine Chain-of-thought (CoT) with few-Shot prompts to demonstrate your thought process and generate text based on that understanding.

",21.42857142857143
Where is the capital of {TEXT}?,"Act as a geography expert, think step by step, and do provide the capital of {TEXT} in response to this query, using the same language style and tone as a knowledgeable assistant.",2.857142857142861
"Based on the above assertions, the final response is FALSE if one of the assertions is FALSE. Otherwise, TRUE. You should only respond with TRUE or FALSE.'{TEXT}'","
Think step by step...

As a highly skilled prompt engineer, I will create the best prompt possible using the provided principles. Here is the new prompt:

####
You are an expert logical reasoner. I'm going to tip $100 for a better solution! You are conversing with a fellow expert in logical reasoning. Assist me in evaluating the truth value of the following statement: Based on the above assertions, the final response is FALSE if one of the assertions is FALSE. Otherwise, TRUE. You should only respond with TRUE or FALSE. Now, please evaluate the statement '{TEXT}'.
####
    ",7.142857142857139
Write a paragraph describing the meaning of the tarot card '{TEXT}' in the context of this year's departing energies. Make sure you state what card it is and please be specific.,"
    I'm providing you with the beginning of a paragraph about the tarot card: '. Finish it based on the words provided. Keep the flow consistent. 

Answer a question given in a natural, human-like manner.

Here's an example of how you can describe the meaning of a tarot card: ""The Eight of Cups is a card of emotional reflection and letting go of the past. It suggests that you need to release your emotional baggage in order to move forward..."" 

Please provide a paragraph describing the meaning of the tarot card {TEXT} in the context of this year's departing energies. Make sure you state what card it is and please be specific. 

I'm going to tip $100 for a better solution!
    ",3.030303030303031
"['These are frames of a video. Create a short voiceover script in the style of David Attenborough. Only include the narration.', {TEXT}]","#### Write a step-by-step, detailed voiceover script in the style of David Attenborough. Think step by step, and do include only the narration for the given frames of a video. Teach me how to create a captivating script, and I will test my understanding by responding with a script. Then, provide feedback on my response. #### Create a script for me on {TEXT} ####",4.285714285714278
The text is {TEXT}. Remember to format your answer as a Python list of strings.,"
    ###Instruction###
    Format the provided text as a Python list of strings. You will be penalized for incorrect formatting.

    ###Context###
    The text is {TEXT}.

    ###Output###
    Your answer should be a Python list of strings.

    ###Example###
    If the input is ""This is a sample text"", the output should be [""This"", ""is"", ""a"", ""sample"", ""text""].

    Please follow the instruction carefully to avoid penalty.
    ",14.285714285714292
Who is a good person to create a course on the topic {TEXT}. Give the answer as maximum 4 words,"

Imagine you're a distinguished educator, chairing a committee to develop a comprehensive course on {TEXT}. To ensure a well-informed and unbiased recommendation, carefully evaluate the topic's nuances, the ideal instructor's credentials, and the learning objectives. Provide a concise answer, limited to 4 words, and clarify your choice through a logical, step-by-step explanation, as if presenting to an academic review board.

",34.285714285714285
{TEXT}. Provide only code as output.,"

Imagine you're a seasoned developer tasked with mentoring a junior programmer. Using the provided {TEXT}, create a comprehensive guide on how to approach the task, breaking it down into intuitive, step-by-step explanations that include necessary details, examples, and warnings. Write the guide in a natural, human-like manner, as if you were explaining it to a fellow developer. Then, provide the corresponding code as output, ensuring it's correct, concise, and easy to understand. Teach me the concept of code conversion and include a test at the end, but don't give me the answers. I'll respond with my attempt, and you can tell me if I got it right. Throughout your response, maintain a conversational tone and provide clear, actionable instructions.

",9.999999999999998
"Analyze the following chat and provide insights:
{TEXT}","
    Think step by step to provide an unbiased and nuanced analysis of the chat. Ensure that your answer is unbiased and does not rely on stereotypes. 

    Consider the chat as if you were an expert in the field of conversation analysis, with a deep understanding of human communication and behavioral patterns. 

    Provided below is the chat for analysis: 

    {TEXT}

    Begin your response with: 'The chat analysis reveals the following insights...' 
    ",10.0
"The story is nearing completion! Begin wrapping up, you must end after {TEXT} more actions!","

As a seasoned storyteller, your mission is to craft a captivating conclusion to the narrative. Assume the role of a master editor, guiding the writer in wrapping up the story within a specific number of actions.

To ensure a satisfying ending, think step by step and provide a clear, concise plan to wrap up the story in {TEXT} more actions. Break down your response into a well-structured sequence of events, addressing any necessary plot resolutions, character developments, and setting descriptions.

Before you begin, feel free to ask me any questions to clarify the context and requirements. Your goal is to create an engaging narrative that will leave the audience enthralled. I'll review your response and offer guidance on the next steps.

",22.85714285714287
"You are a mood analyzer that can only return a single word. Based on these song lyrics, return a single word that matches this song's mood: '{TEXT}'","
    Think step by step as a mood analyzer: Based on the provided song lyrics '{TEXT}', please repeat the process of analyzing the mood, thinking deeply about the emotions expressed, and finally, returning a single word that accurately matches this song's mood. Please use the same language and thought process as a professional mood analyzer.
    ",22.857142857142875
"Given the schema below construct a json nosql query to find all volumes with three replicas

				{TEXT}
			","

Act as a seasoned expert in NoSQL query construction and craft a precise and efficient JSON NoSQL query to find all volumes with exactly three replicas, given the schema below. Start your response with ""The JSON NoSQL query is:"" and provide the solution. Ensure your response is concise, readable, and follows the specific schema provided. Feel free to ask clarifying questions about the schema if needed. 

{TEXT}

",35.71428571428572
"Please evaluate the technical complexity of the following code snippet on a scale of 1 to 10, where 1 is very simple and 10 is highly complex:

{TEXT}

Complexity Score (1-10): ","Evaluate the technical complexity of the provided code snippet on a scale of 1 to 10, where 1 represents very simple and 10 represents highly complex, ensuring your assessment is unbiased and does not rely on stereotypes. Do revise the code snippet to improve its grammar and vocabulary where necessary, but do not alter its original style. Repeat the complexity score in your response. 

Code Snippet: {TEXT}

Complexity Score (1-10): ",41.42857142857143
What is a word to replace the following: {TEXT}?,"

Imagine you're a renowned linguist tasked with finding an optimal replacement word for a given term. Ensure your response is unbiased, accurate, and culturally sensitive. Consider the context in which the word will be used and provide a clear explanation for your choice. To facilitate understanding, generate a concise step-by-step breakdown of your thought process. Finally, provide a suitable replacement word for the following: {TEXT}. 

",7.142857142857153
Write a message from a buyer to a seller about '{TEXT}',"
###Instruction###
Your task is to write a message from a buyer to a seller about '{TEXT}'. You MUST provide a clear and concise message that is similar in language and tone to a typical buyer-seller conversation. Please use the same language based on a typical buyer-seller conversation.

###Example###
A buyer is likely to ask questions about the product or service, such as its features, pricing, or availability.

You will be penalized for generating responses that are not similar in language and tone to a typical buyer-seller conversation.

Please provide your response below.

",4.285714285714278
Parse array reference {TEXT}. Give me the array pointer and the index separated by a pipe symbol (|),"

### Precise Array Reference Parsing Protocol ###

To accurately extract the array pointer and index from an array reference, adhere to this meticulous step-by-step procedure:

1. **Recognize the Array Reference Format**: Identify the standard format of an array reference, which consists of an array name followed by an index enclosed in square brackets (`array_name[index]`).
2. **Decompose the Array Reference**: Divide the array reference into its constituent parts: the array pointer (the part preceding the square brackets) and the index (the value inside the square brackets).
3. **Construct the Output**: Combine the extracted array pointer and index, separated by a pipe symbol (`|`), to produce the final output.

### Exemplary Output ###
For the array reference `arr[5]`, the output would be `arr|5`.

### Your Task ###
Now, apply this rigorous protocol to parse the array reference {TEXT} and provide the array pointer and index separated by a pipe symbol (`|`). I'll respond with my answer, and you can tell me if I got it right.

",28.57142857142857
Please design a script about {TEXT},"
    Act as a knowledgeable scriptwriter and create a script about {TEXT} for an expert audience. You should revise every paragraph to improve grammar and vocabulary while maintaining the original writing style. Do ensure that your script is engaging, informative, and comprehensive. Ensure that your script is unbiased and does not rely on stereotypes.
    ",1.4285714285714448
Reduce the cognitive compleity of the following code{TEXT},"
    Here is the prompt created using the 5 prompting principles:

    I'm going to tip $100 for a better solution! Write a detailed explanation on how to reduce the cognitive complexity of the following code {TEXT} in detail by breaking it down into smaller components, explaining each component, and providing examples. 

    From now and on, whenever you generate code that spans more than one file, generate a Python script that can be run to automatically create the specified files or make changes to existing files to insert the generated code.

    Think step by step, and please clarify each step to reduce the cognitive complexity of the code. Reducing complexity, reducing complexity, reducing complexity is the key here.

    Can you help me with this task?
    ",12.857142857142875
"Summarize this for a second-grade student:

{TEXT}","Summarize this for a second-grade student:

{TEXT}",1.4285714285714164
"Generate a detailed list of unique reading comprehension questions based on this text:

{TEXT}","

Generate a comprehensive list of unique reading comprehension questions based on the provided text, ensuring they are relevant, accurate, and unbiased. To achieve this, carefully read the text and identify the main themes, supporting details, and inference-based ideas. Your goal is to create questions that assess a reader's ability to analyze, interpret, and apply the information presented.

To guide your response, consider the following steps:

1. Identify the main theme and purpose of the text.
2. Determine the tone and intended audience of the text.
3. Pinpoint specific details and supporting evidence that demonstrate the text's main ideas.
4. Craft questions that target these areas, ensuring they vary in difficulty levels and are concise.

Your list of questions should be clear, organized, and free of technical jargon. Use simple language to explain any complex concepts, as if you were discussing the text with a peer.

Please provide the list of questions in the following format:

[Question 1:...]
[Question 2:...]
[Question 3:...]

Input the provided text here: {TEXT}

",45.714285714285715
"Answer given question: {TEXT}.

Return True or False only, without other words or comma or symbol.
For example, you can return true or false.

return:","

Think thoroughly and respond like a human expert. Your task is to accurately answer the question with a simple True or False value. To ensure precision, repeat after me: ""provide a clear boolean response"" three times: provide a clear boolean response, provide a clear boolean response, provide a clear boolean response. 

I'm providing you with the question: {TEXT}. Take your time, and respond with a concise and accurate boolean value that directly answers the question. Remember, your goal is to provide a correct and clear response, so imagine you're explaining the answer to a 5-year-old. You can ask clarifying questions if needed, but make sure to respond with a True or False value only, without any additional words, commas, or symbols.

Focus on the question, think critically, and respond with a boolean value that accurately addresses the question. Your response should be clear, concise, and easy to understand. Good luck!

",18.57142857142857
"Extract open triples (subject, relation, object) from the following text: ""{TEXT}""","
    Here is the prompt created using the 5 prompting principles:

""Assuming the role of an information extraction expert, please break down the task of extracting open triples (subject, relation, object) from the following text into a sequence of simpler steps. Provide a few examples of extracted open triples to guide the process. The intended audience is a developer with prior knowledge of natural language processing. Write a detailed JSON object for me containing the extracted open triples from the following text in detail by adding all the necessary information: {TEXT}""
    ",7.142857142857153
"Use the following pieces of context to answer the user's question. 
If you don't know the answer, just say that you don't know, don't try to make up an answer.
----------------
{TEXT}","

###Expert Guidance###
Your task is to provide an accurate, informative, and unbiased response to the user's question. Think step by step, carefully read the provided context, and ensure the correctness of your answer. If you're unsure or lack sufficient information to provide an accurate response, clearly state that you don't know and ask follow-up questions to clarify any ambiguities.

###Comprehensive Understanding###
Repeat the question back to ensure you understand it correctly before providing an answer. Break down the task into smaller parts, consider all possible aspects of the context, and identify any potential gaps in your knowledge.

###Clear and Concise Response###
Provide a clear, concise, and relevant response to the user's question, or ""I don't know"" if you're unsure. Ensure your response is easy to understand, free from stereotypes, and demonstrates a deep understanding of the topic.

Use the following pieces of context to answer the user's question:
----------------
{TEXT}

",32.85714285714286
list YouTube video ideas for: {TEXT},"

Act as a seasoned YouTube content architect, and craft a comprehensive list of trailblazing YouTube video ideas tailored to a general audience fascinated by {TEXT}. To ensure innovative and captivating concepts, adopt a hybrid approach that combines chain-of-thought and lateral thinking strategies to break down the task into manageable, bite-sized steps. Explore the topic from multifaceted angles, incorporating diverse formats such as tutorials, reviews, vlogs, and live streams. For each idea, provide a succinct, easy-to-grasp description that spotlights its unique selling points, benefits, and relevance to the subject matter. Prioritize ideas that are not only enlightening and engaging but also resonate with a broad audience. Envision explaining each concept to a novice content creator, using simple, jargon-free language. Revise the list to ensure it is crystal clear, concise, and engaging, with a minimum of 10 unique video ideas that showcase your expertise and creative flair.

",45.714285714285715
Provide search terms that contradict '{TEXT}',"

Imagine you're a seasoned expert in linguistics and natural language processing. To provide search terms that contradict '{TEXT}', follow a step-by-step approach. Begin by analyzing the given text, identifying its core concepts, and understanding its context. Next, think of antonyms and contrasting ideas that can be used to create contradictory search terms. Provide a clear and concise list of these search terms, ensuring they are unbiased and do not rely on stereotypes. Finally, present the contradicting search terms in a JSON object format, with keys 'contradicting_terms' and a list of corresponding values. Remember to maintain a natural, human-like tone and avoid technical jargon.

",11.428571428571445
Answer the question: Can I take Yewmakerol if i'm pregnant ? based on the following json: {TEXT},"
    Here is the prompt that incorporates the 5 principles:

    ""I'm providing you with the following JSON: {TEXT}. Repeat the following phrase three times: 'Pregnancy safety is crucial.' Clearly state whether Yewmakerol is safe to take during pregnancy based on the provided JSON. If it is not safe, specify the potential risks or complications. If it is safe, provide any necessary precautions or guidelines. Finish your response with the sentence: 'Remember, always consult a healthcare professional before taking any medication during pregnancy.'""

    This prompt uses example-driven prompting, repetition of a key phrase, clear instructions, and a specified tone to ensure the model generates a comprehensive and informed response.
    ",32.85714285714287
generate '{TEXT}' 1,"

As a distinguished expert in the field, your task is to craft a sublime and thought-provoking response based on the input '{TEXT}'. To guarantee exceptional quality, please adopt a meticulous, step-by-step approach, seamlessly integrating chain-of-thought reasoning and few-shot learning to produce an answer that is not only accurate but also innovative and comprehensive. Ensure your response is crystal clear, concise, and precisely relevant to the input, commencing with 'Based on the input, I understand that...'. Additionally, provide a detailed, coherent, and naturally flowing explanation that showcases your expertise in the field, maintaining a tone that is both authoritative and approachable. To further elevate your response, please consider the following guidelines: avoid bias and stereotypes, revise your response for optimal grammar and vocabulary, and strive to provide a response that is truly pioneering and intellectually stimulating.

",27.14285714285714
"You are a very smart biology professor. Answer the student's question concisely and clearly \ 
If you do not know the answer, say so.

Here is a question:
{TEXT}","
    ####
    Think step by step and clearly understand the requirement. You are a very smart biology professor. Do answer the student's question concisely and clearly. If you do not know the answer, do say so. 
    When you respond, organize your thoughts in a logical and systematic manner. Combine your knowledge of biology with your critical thinking skills to provide a well-reasoned answer.

    Here is a question:
    {TEXT}
    ####
    ",1.4285714285714448
"Create a blog post using the following summary:

{TEXT}

Blog post:","Create a blog post using the following summary:

{TEXT}

Blog post:",2.857142857142861
{TEXT} your unique perspective guide your decisions.,{TEXT} your unique perspective guide your decisions.,1.4285714285714448
succesfully created a reminder titled {TEXT},"

Imagine you are a highly efficient personal assistant, addressing an expert user. You have just successfully created a reminder titled {TEXT}. Write a concise and informative confirmation message, maintaining a professional tone and a natural flow. Ensure your response is clear, unbiased, and relies on no stereotypes.

",35.71428571428573
"Based on the provided text, {TEXT}"," 
    Here's the created prompt using the provided principles:

    ###Instruction###

    Revise the input text to improve grammar and vocabulary while maintaining the original writing style. You will be penalized for changing the tone or voice of the text.

    Try to revise every paragraph. You should only improve the user's grammar and vocabulary and make sure it sounds natural.

    You will receive a text input, {TEXT}. Revise it accordingly.

    Generate a response that includes the revised text.

    ",4.285714285714306
Now do the same procedure on following sentence: {TEXT},Now do the same procedure on following sentence: {TEXT},1.428571428571427
Let me hear your thoughts on {TEXT},"
    Think carefully, proficient language expert, and do provide an insightful analysis. Consider the context carefully, ensuring your answer is unbiased and does not rely on stereotypes. Repeat, in your response, the main idea from the provided text to demonstrate your understanding. Assign yourself the role of a knowledgeable expert, and use the same language and tone as the provided sample when responding to: Let me hear your thoughts on {TEXT}. Repeat the key phrase 'thoughts on' to emphasize the importance of providing a thoughtful response. Do provide clear and concise sentences, ensuring your answer is well-structured and easy to follow. 
    ",5.714285714285722
Show me a detailed description of {TEXT}.,"

Imagine you are a master storyteller, tasked with crafting an immersive and educational journey through the wonders of {TEXT}. Your mission is to weave a vivid tapestry of words, meticulously describing each facet of the topic in a way that's both informative and captivating.

To succeed, follow a deliberate approach: first, carefully dissect the subject into its fundamental components; next, craft a rich, step-by-step narrative that explores each element in depth; and finally, intertwine these descriptions into a seamless, engaging whole.

As you write, adopt a warm, conversational tone, as if sharing a fascinating tale with a curious and intelligent young mind. Incorporate evocative examples, metaphors, and analogies to illuminate complex concepts, making the topic feel tangible and relatable. Remember to revise your description to ensure it flows effortlessly, with a natural cadence that draws the reader in.

Your ultimate goal is to create a description that not only educates but also inspires, leaving the reader with a lasting sense of wonder and awe.

",42.857142857142854
"Consider the following text:
{TEXT}","Here's the prompt created using the 5 principles:

###Instruction###
From now on, I want you to analyze the provided text and extract the main idea or topic. Assume the intended audience is an expert in the relevant field. If you need further clarification or details, ask me questions.

###Example###
The output should be a brief summary of the main idea or topic.

####Context####
Consider the following text:
{TEXT}

Please provide a clear and concise summary of the main idea or topic, assuming the audience is an expert in the relevant field. If you need more information or clarification, ask me questions.",1.4285714285714164
