Serial Number,Error Type,Ungrammatical Statement,Standard English
33,Verb Tense Errors,The scientist perform experiments in the lab.,The scientist performs experiments in the lab.
34,Verb Tense Errors,The baby cry when it's hungry.,The baby cries when it's hungry.
35,Verb Tense Errors,The teacher teach the students in the classroom.,The teacher teaches the students in the classroom.
36,Verb Tense Errors,I was work on the project all day.,I was working on the project all day.
37,Verb Tense Errors,She has paint her room last week.,She painted her room last week.
38,Verb Tense Errors,The dog was chase the squirrel.,The dog was chasing the squirrel.
39,Verb Tense Errors,The flowers was watered by the gardener.,The flowers were watered by the gardener.
40,Verb Tense Errors,The car has been wash this morning.,The car has been washed this morning.
41,Verb Tense Errors,The manager gives a speech at the meeting.,The manager gave a speech at the meeting.
42,Verb Tense Errors,They takes a vacation every summer.,They take a vacation every summer.
43,Verb Tense Errors,He swims in the pool every day last summer.,He swam in the pool every day last summer.
44,Verb Tense Errors,The athlete wins the gold medal in the race.,The athlete won the gold medal in the race.
45,Verb Tense Errors,She is dance at the party last night.,She was dancing at the party last night.
46,Verb Tense Errors,The teacher was grading the papers all night.,The teacher graded the papers all night.
47,Verb Tense Errors,The children build a sandcastle on the beach.,The children built a sandcastle on the beach.
48,Verb Tense Errors,The company launch a new product next month.,The company will launch a new product next month.
49,Verb Tense Errors,I have been study for the test for two weeks.,I have been studying for the test for two weeks.
50,Verb Tense Errors,The photographer take a picture of the sunset.,The photographer took a picture of the sunset.
51,Verb Tense Errors,The artist was draw a portrait of the model.,The artist was drawing a portrait of the model.
52,Verb Tense Errors,He is read a book before going to bed.,He reads a book before going to bed.
53,Verb Tense Errors,The player scores a goal during the match.,The player scored a goal during the match.
54,Verb Tense Errors,The tourists visit the museum yesterday.,The tourists visited the museum yesterday.
55,Verb Tense Errors,The weather forecast say it will rain tomorrow.,The weather forecast says it will rain tomorrow.
56,Verb Tense Errors,The farmer has plant the seeds in the field.,The farmer has planted the seeds in the field.
57,Verb Tense Errors,She has been make dinner for the family.,She has been making dinner for the family.
58,Verb Tense Errors,The students were study for their exams.,The students were studying for their exams.
59,Verb Tense Errors,The concert begins in an hour.,The concert will begin in an hour.
60,Verb Tense Errors,The neighbors was moving out yesterday.,The neighbors were moving out yesterday.
61,Verb Tense Errors,The children has fun at the amusement park.,The children had fun at the amusement park.
62,Verb Tense Errors,The pilot was fly the plane during the storm.,The pilot was flying the plane during the storm.
63,Verb Tense Errors,She has bake cookies for the bake sale.,She has baked cookies for the bake sale.
64,Verb Tense Errors,The waiter serve the food to the customers.,The waiter served the food to the customers.
65,Verb Tense Errors,The author has been write a new book.,The author has been writing a new book.
66,Verb Tense Errors,The delivery driver brings the package yesterday.,The delivery driver brought the package yesterday.
67,Verb Tense Errors,The students was taking a test in the classroom.,The students were taking a test in the classroom.
68,Verb Tense Errors,He is take a break from work.,He is taking a break from work.
69,Verb Tense Errors,The party was organize by the event planner.,The party was organized by the event planner.
70,Verb Tense Errors,The mechanic was fixing the car.,The mechanic fixed the car.
71,Verb Tense Errors,The movie start at 8 PM.,The movie starts at 8 PM.
72,Verb Tense Errors,The gardener is plant flowers in the garden.,The gardener is planting flowers in the garden.
73,Verb Tense Errors,The team were working on the project.,The team was working on the project.
74,Verb Tense Errors,The musician perform at the concert.,The musician performed at the concert.
75,Verb Tense Errors,She is going to shopping after work.,She is going shopping after work.
76,Verb Tense Errors,The store close at 9 PM tonight.,The store closes at 9 PM tonight.
77,Verb Tense Errors,The cat was lay on the sofa.,The cat was lying on the sofa.
78,Verb Tense Errors,The engine is make a strange noise.,The engine is making a strange noise.
79,Verb Tense Errors,The students are prepare for their presentations.,The students are preparing for their presentations.
80,Verb Tense Errors,The volunteers was helping at the event.,The volunteers were helping at the event.
81,Verb Tense Errors,The birds was flying south for the winter.,The birds were flying south for the winter.
82,Verb Tense Errors,The cake was bake in the oven.,The cake was baked in the oven.
83,Verb Tense Errors,The package is deliver yesterday.,The package was delivered yesterday.
84,Verb Tense Errors,The athlete is train for the competition.,The athlete is training for the competition.
85,Verb Tense Errors,The car was wash by the teenager.,The car was washed by the teenager.
86,Verb Tense Errors,She is speak at the conference tomorrow.,She is speaking at the conference tomorrow.
87,Verb Tense Errors,The doctor was examine the patient.,The doctor examined the patient.
88,Verb Tense Errors,The store is open late on Fridays.,The store opens late on Fridays.
89,Verb Tense Errors,The tree was falling during the storm.,The tree fell during the storm.
90,Verb Tense Errors,The children was playing in the park.,The children were playing in the park.
91,Verb Tense Errors,The cake is frost with chocolate icing.,The cake is frosted with chocolate icing.
92,Verb Tense Errors,The employee is work late tonight.,The employee is working late tonight.
93,Verb Tense Errors,The train was delay due to bad weather.,The train was delayed due to bad weather.
94,Verb Tense Errors,The phone is charge on the table.,The phone is charging on the table.
95,Verb Tense Errors,The dog was dig a hole in the yard.,The dog was digging a hole in the yard.
96,Verb Tense Errors,The students is studying in the library.,The students are studying in the library.
97,Verb Tense Errors,The pizza is deliver to the wrong address.,The pizza was delivered to the wrong address.
98,Verb Tense Errors,The project is complete by the deadline.,The project was completed by the deadline.
99,Verb Tense Errors,The concert was cancel due to rain.,The concert was canceled due to rain.
100,Verb Tense Errors,The waitress is take our order.,The waitress is taking our order.
101,Subject-Verb Agreement,The dogs runs quickly to the park.,The dogs run quickly to the park.
102,Subject-Verb Agreement,She go to the library every Tuesday.,She goes to the library every Tuesday.
103,Subject-Verb Agreement,The results of the experiments was inconclusive.,The results of the experiments were inconclusive.
104,Subject-Verb Agreement,The team of researchers are committed to finding a solution.,The team of researchers is committed to finding a solution.
105,Subject-Verb Agreement,The pile of clothes need to be washed.,The pile of clothes needs to be washed.
106,Subject-Verb Agreement,The collection of stamps have been growing steadily.,The collection of stamps has been growing steadily.
107,Subject-Verb Agreement,The group of students works on the project together.,The group of students work on the project together.
108,Subject-Verb Agreement,The computers in the lab was updated last week.,The computers in the lab were updated last week.
109,Subject-Verb Agreement,The list of ingredients in the recipe need revision.,The list of ingredients in the recipe needs revision.
110,Subject-Verb Agreement,My family enjoys going on vacation together.,My family enjoy going on vacation together.
111,Subject-Verb Agreement,The audience was clapping their hands enthusiastically.,The audience were clapping their hands enthusiastically.
112,Subject-Verb Agreement,The company's policies is constantly evolving.,The company's policies are constantly evolving.
113,Subject-Verb Agreement,The employees at the store works diligently.,The employees at the store work diligently.
114,Subject-Verb Agreement,The children plays in the park every afternoon.,The children play in the park every afternoon.
115,Subject-Verb Agreement,The bakeries in this area makes delicious pastries.,The bakeries in this area make delicious pastries.
116,Subject-Verb Agreement,The book that I borrowed from the library were very interesting.,The book that I borrowed from the library was very interesting.
117,Subject-Verb Agreement,The collection of coins are displayed in the museum.,The collection of coins is displayed in the museum.
118,Subject-Verb Agreement,The committee have decided on a course of action.,The committee has decided on a course of action.
119,Subject-Verb Agreement,The musicians practices together every Saturday.,The musicians practice together every Saturday.
120,Subject-Verb Agreement,The dishes in the sink needs to be cleaned.,The dishes in the sink need to be cleaned.
121,Subject-Verb Agreement,The flights to New York was cancelled due to bad weather.,The flights to New York were cancelled due to bad weather.
122,Subject-Verb Agreement,The film festival have a great lineup this year.,The film festival has a great lineup this year.
123,Subject-Verb Agreement,The students in the class was excited about the field trip.,The students in the class were excited about the field trip.
124,Subject-Verb Agreement,The package of documents need to be delivered by tomorrow.,The package of documents needs to be delivered by tomorrow.
125,Subject-Verb Agreement,The plants in the garden has grown significantly.,The plants in the garden have grown significantly.
126,Subject-Verb Agreement,The shelves was filled with books.,The shelves were filled with books.
127,Subject-Verb Agreement,The faculty in the department is diverse and experienced.,The faculty in the department are diverse and experienced.
128,Subject-Verb Agreement,The orchestra perform at the concert hall every month.,The orchestra performs at the concert hall every month.
129,Subject-Verb Agreement,The series of events leading up to the incident was complicated.,The series of events leading up to the incident were complicated.
130,Subject-Verb Agreement,The couple takes a walk in the park every evening.,The couple take a walk in the park every evening.
131,Subject-Verb Agreement,The laws of physics governs the universe.,The laws of physics govern the universe.
132,Subject-Verb Agreement,The group of protestors was chanting loudly.,The group of protestors were chanting loudly.
133,Subject-Verb Agreement,The pair of shoes I bought yesterday was too tight.,The pair of shoes I bought yesterday were too tight.
134,Subject-Verb Agreement,The flock of birds fly south for the winter.,The flock of birds flies south for the winter.
135,Subject-Verb Agreement,The set of keys are on the kitchen counter.,The set of keys is on the kitchen counter.
136,Subject-Verb Agreement,The team of engineers designs the new product.,The team of engineers design the new product.
137,Subject-Verb Agreement,The list of tasks to complete was overwhelming.,The list of tasks to complete were overwhelming.
138,Subject-Verb Agreement,The group of tourists takes pictures of the monument.,The group of tourists take pictures of the monument.
139,Subject-Verb Agreement,The stack of papers on the desk need to be sorted.,The stack of papers on the desk needs to be sorted.
140,Subject-Verb Agreement,The number of people in the room was growing.,The number of people in the room were growing.
141,Subject-Verb Agreement,The families in the neighborhood brings food to the potluck.,The families in the neighborhood bring food to the potluck.
142,Subject-Verb Agreement,The collection of short stories have a common theme.,The collection of short stories has a common theme.
143,Subject-Verb Agreement,The staff at the hotel makes sure the guests are comfortable.,The staff at the hotel make sure the guests are comfortable.
144,Subject-Verb Agreement,The bundle of letters was tied with a ribbon.,The bundle of letters were tied with a ribbon.
145,Subject-Verb Agreement,The pair of jeans fit me perfectly.,The pair of jeans fits me perfectly.
146,Subject-Verb Agreement,The variety of plants in the greenhouse needs special care.,The variety of plants in the greenhouse need special care.
147,Subject-Verb Agreement,The audience enjoys the show immensely.,The audience enjoy the show immensely.
148,Subject-Verb Agreement,The group of instruments in the orchestra creates a unique sound.,The group of instruments in the orchestra create a unique sound.
149,Subject-Verb Agreement,The herd of cows graze in the field.,The herd of cows grazes in the field.
150,Subject-Verb Agreement,The set of tools are in the garage.,The set of tools is in the garage.
151,Subject-Verb Agreement,The series of lectures on history was very informative.,The series of lectures on history were very informative.
152,Subject-Verb Agreement,The team of doctors have developed a new treatment.,The team of doctors has developed a new treatment.
153,Subject-Verb Agreement,The crowd of people was waiting for the parade to start.,The crowd of people were waiting for the parade to start.
154,Subject-Verb Agreement,The group of volunteers work tirelessly to help the community.,The group of volunteers works tirelessly to help the community.
155,Subject-Verb Agreement,The couple plans their wedding together.,The couple plan their wedding together.
156,Subject-Verb Agreement,The assortment of candies in the store looks delicious.,The assortment of candies in the store look delicious.
157,Subject-Verb Agreement,The range of mountains stretches across the horizon.,The range of mountains stretch across the horizon.
158,Subject-Verb Agreement,The series of tests was challenging for the students.,The series of tests were challenging for the students.
159,Subject-Verb Agreement,The set of rules governs how the game is played.,The set of rules govern how the game is played.
160,Subject-Verb Agreement,The number of tasks to complete have increased.,The number of tasks to complete has increased.
161,Subject-Verb Agreement,The group of fish swim together in the tank.,The group of fish swims together in the tank.
162,Subject-Verb Agreement,The variety of birds in the aviary is amazing.,The variety of birds in the aviary are amazing.
163,Subject-Verb Agreement,The class of students have different learning styles.,The class of students has different learning styles.
164,Subject-Verb Agreement,The group of friends meets every week for dinner.,The group of friends meet every week for dinner.
165,Subject-Verb Agreement,The bunch of grapes has started to rot.,The bunch of grapes have started to rot.
166,Subject-Verb Agreement,The pair of socks has holes in them.,The pair of socks have holes in them.
167,Subject-Verb Agreement,The range of products offered by the company are vast.,The range of products offered by the company is vast.
168,Subject-Verb Agreement,The cluster of stars form a constellation.,The cluster of stars forms a constellation.
169,Subject-Verb Agreement,The group of hikers takes a break by the waterfall.,The group of hikers take a break by the waterfall.
170,Subject-Verb Agreement,The class of students was eager to learn.,The class of students were eager to learn.
171,Subject-Verb Agreement,The selection of movies at the theater is impressive.,The selection of movies at the theater are impressive.
172,Subject-Verb Agreement,The government's policies has a significant impact on the economy.,The government's policies have a significant impact on the economy.
173,Subject-Verb Agreement,The series of paintings in the gallery tell a story.,The series of paintings in the gallery tells a story.
174,Subject-Verb Agreement,The cast of the play have been rehearsing for months.,The cast of the play has been rehearsing for months.
175,Subject-Verb Agreement,The group of scientists study the effects of climate change.,The group of scientists studies the effects of climate change.
176,Subject-Verb Agreement,The family of deer grazes in the meadow.,The family of deer graze in the meadow.
177,Subject-Verb Agreement,The pair of earrings has been misplaced.,The pair of earrings have been misplaced.
178,Subject-Verb Agreement,The group of musicians have a unique sound.,The group of musicians has a unique sound.
179,Subject-Verb Agreement,The set of dishes in the cupboard is antique.,The set of dishes in the cupboard are antique.
180,Subject-Verb Agreement,The number of books in the library continues to grow.,The number of books in the library continue to grow.
181,Subject-Verb Agreement,The group of dancers perform in perfect unison.,The group of dancers performs in perfect unison.
182,Subject-Verb Agreement,The variety of food at the buffet has something for everyone.,The variety of food at the buffet have something for everyone.
183,Subject-Verb Agreement,The crowd of spectators cheers for their favorite team.,The crowd of spectators cheer for their favorite team.
184,Subject-Verb Agreement,The team of writers collaborate on the script.,The team of writers collaborates on the script.
185,Subject-Verb Agreement,The set of instructions was difficult to follow.,The set of instructions were difficult to follow.
186,Subject-Verb Agreement,The group of birds nests in the trees.,The group of birds nest in the trees.
187,Subject-Verb Agreement,The assortment of toys in the store is impressive.,The assortment of toys in the store are impressive.
188,Subject-Verb Agreement,The choir of singers sings beautifully.,The choir of singers sing beautifully.
189,Subject-Verb Agreement,The series of articles on the topic was enlightening.,The series of articles on the topic were enlightening.
190,Subject-Verb Agreement,The pair of gloves keeps my hands warm.,The pair of gloves keep my hands warm.
191,Subject-Verb Agreement,The group of flowers in the vase is wilting.,The group of flowers in the vase are wilting.
192,Subject-Verb Agreement,The set of questions in the exam was challenging.,The set of questions in the exam were challenging.
193,Subject-Verb Agreement,The number of people attending the event has increased.,The number of people attending the event have increased.
194,Subject-Verb Agreement,The group of animals in the zoo attracts a lot of visitors.,The group of animals in the zoo attract a lot of visitors.
195,Subject-Verb Agreement,The variety of courses offered by the university is diverse.,The variety of courses offered by the university are diverse.
196,Subject-Verb Agreement,The cast of characters in the novel was memorable.,The cast of characters in the novel were memorable.
197,Subject-Verb Agreement,The team of athletes train together every day.,The team of athletes trains together every day.
198,Subject-Verb Agreement,The group of students in the club organizes events.,The group of students in the club organize events.
199,Subject-Verb Agreement,The family of languages share common features.,The family of languages shares common features.
200,Subject-Verb Agreement,The collection of essays was edited by the professor.,The collection of essays were edited by the professor.
201,Article Usage,I went to a school yesterday.,I went to school yesterday.
202,Article Usage,She bought the ice cream for her daughter.,She bought ice cream for her daughter.
203,Article Usage,He has a unique collection of a coins.,He has a unique collection of coins.
204,Article Usage,An apple a day keeps doctor away.,An apple a day keeps the doctor away.
205,Article Usage,Please pass me an salt shaker.,Please pass me the salt shaker.
206,Article Usage,I am looking forward to an vacation.,I am looking forward to a vacation.
207,Article Usage,They are attending a wedding of an friend.,They are attending a wedding of a friend.
208,Article Usage,The Earth revolves around a Sun.,The Earth revolves around the Sun.
209,Article Usage,She works in a finance industry.,She works in the finance industry.
210,Article Usage,Did you finish an work you had to do?,Did you finish the work you had to do?
211,Article Usage,He was late because of an heavy traffic.,He was late because of heavy traffic.
212,Article Usage,She is an expert on a human behavior.,She is an expert on human behavior.
213,Article Usage,We went to a beach to enjoy a sunshine.,We went to the beach to enjoy the sunshine.
214,Article Usage,"Can you turn off a television, please?","Can you turn off the television, please?"
215,Article Usage,The artist used a watercolor to paint a picture.,The artist used watercolor to paint the picture.
216,Article Usage,I need to buy a new pair of a shoes.,I need to buy a new pair of shoes.
217,Article Usage,She is studying a history of art.,She is studying the history of art.
218,Article Usage,They are going to a museum of modern art.,They are going to the museum of modern art.
219,Article Usage,He is a fan of a basketball.,He is a fan of basketball.
220,Article Usage,The cat is hiding under a table.,The cat is hiding under the table.
221,Article Usage,She is waiting for a bus at a bus stop.,She is waiting for the bus at the bus stop.
222,Article Usage,He is a member of a chess club.,He is a member of the chess club.
223,Article Usage,The students are learning a chemistry in class.,The students are learning chemistry in class.
224,Article Usage,Can you hand me a book about a science fiction?,Can you hand me a book about science fiction?
225,Article Usage,She is reading a newspaper while drinking a tea.,She is reading the newspaper while drinking tea.
226,Article Usage,The movie is based on a true story.,The movie is based on a true story.
227,Article Usage,He is attending a conference on a technology.,He is attending a conference on technology.
228,Article Usage,She is an expert in a field of psychology.,She is an expert in the field of psychology.
229,Article Usage,The dog is chasing a ball in a park.,The dog is chasing a ball in the park.
230,Article Usage,The flowers are blooming in a springtime.,The flowers are blooming in the springtime.
231,Article Usage,The waiter brought a menu to a table.,The waiter brought the menu to the table.
232,Article Usage,They are planning a trip to a Europe.,They are planning a trip to Europe.
233,Article Usage,The car is parked in a garage.,The car is parked in the garage.
234,Article Usage,The boy is playing with a toy car.,The boy is playing with a toy car.
235,Article Usage,She is learning a new language at a school.,She is learning a new language at the school.
236,Article Usage,The cake is decorated with a flowers.,The cake is decorated with flowers.
237,Article Usage,He is listening to a music on a radio.,He is listening to music on the radio.
238,Article Usage,She went to a store to buy a groceries.,She went to the store to buy groceries.
239,Article Usage,The package was delivered by a mail carrier.,The package was delivered by the mail carrier.
240,Article Usage,The bird is sitting on a branch of a tree.,The bird is sitting on a branch of the tree.
241,Article Usage,I have a meeting with a principal of a school.,I have a meeting with the principal of the school.
242,Article Usage,The athlete is training for a marathon race.,The athlete is training for a marathon race.
243,Article Usage,He bought a ticket for a concert of his favorite band.,He bought a ticket for the concert of his favorite band.
244,Article Usage,The doctor is giving advice on a healthy lifestyle.,The doctor is giving advice on healthy lifestyle.
245,Article Usage,The chef is preparing a delicious meal in a kitchen.,The chef is preparing a delicious meal in the kitchen.
246,Article Usage,The students are working on a project in a library.,The students are working on a project in the library.
247,Article Usage,She is reading a book about a personal development.,She is reading a book about personal development.
248,Article Usage,The company is investing in a renewable energy.,The company is investing in renewable energy.
249,Article Usage,The scientist discovered a new species of a plant.,The scientist discovered a new species of plant.
250,Article Usage,The tourists are visiting a famous monument.,The tourists are visiting the famous monument.
251,Article Usage,The children are playing a soccer in a park.,The children are playing soccer in the park.
252,Article Usage,He is a fan of a classical music.,He is a fan of classical music.
253,Article Usage,The couple is taking a walk in a park.,The couple is taking a walk in the park.
254,Article Usage,The audience enjoyed a performance of a play.,The audience enjoyed the performance of the play.
255,Article Usage,The teacher is explaining a new concept to a students.,The teacher is explaining a new concept to the students.
256,Article Usage,The family is having a dinner at a restaurant.,The family is having dinner at the restaurant.
257,Article Usage,The airplane is flying above a clouds.,The airplane is flying above the clouds.
258,Article Usage,She is wearing a beautiful dress to a party.,She is wearing a beautiful dress to the party.
259,Article Usage,The artist is painting a landscape with a oil paint.,The artist is painting a landscape with oil paint.
260,Article Usage,The child is playing with a sand at a beach.,The child is playing with sand at the beach.
261,Article Usage,The workers are constructing a new building.,The workers are constructing the new building.
262,Article Usage,The team is celebrating their victory in a competition.,The team is celebrating their victory in the competition.
263,Article Usage,The author is signing a copies of her new book.,The author is signing copies of her new book.
264,Article Usage,He is looking at a stars through a telescope.,He is looking at the stars through a telescope.
265,Article Usage,The farmer is harvesting a crops in a field.,The farmer is harvesting crops in the field.
266,Article Usage,The family is watching a movie together at a home.,The family is watching a movie together at home.
267,Article Usage,The students are practicing a yoga in a gym.,The students are practicing yoga in the gym.
268,Article Usage,The musician is playing a piano in a concert hall.,The musician is playing the piano in a concert hall.
269,Article Usage,The volunteers are cleaning a beach on a weekend.,The volunteers are cleaning the beach on the weekend.
270,Article Usage,The car is making a strange noise when a engine is running.,The car is making a strange noise when the engine is running.
271,Article Usage,The city is famous for a unique architecture.,The city is famous for its unique architecture.
272,Article Usage,The couple is taking a vacation in a tropical island.,The couple is taking a vacation on a tropical island.
273,Article Usage,The museum is featuring a new exhibit about a ancient civilizations.,The museum is featuring a new exhibit about ancient civilizations.
274,Article Usage,The photographer is taking pictures of a wildlife.,The photographer is taking pictures of wildlife.
275,Article Usage,The passengers are waiting for a train at a train station.,The passengers are waiting for the train at the train station.
276,Article Usage,The computer is displaying an error message on a screen.,The computer is displaying an error message on the screen.
277,Article Usage,The weather forecast predicts a rain for a tomorrow.,The weather forecast predicts rain for tomorrow.
278,Article Usage,The plants need a water and a sunlight to grow.,The plants need water and sunlight to grow.
279,Article Usage,The patient is recovering from a surgery at a hospital.,The patient is recovering from surgery at the hospital.
280,Article Usage,The government is implementing a new policies to improve a economy.,The government is implementing new policies to improve the economy.
281,Article Usage,The audience is waiting for a show to start.,The audience is waiting for the show to start.
282,Article Usage,The squirrel is collecting a nuts for a winter.,The squirrel is collecting nuts for the winter.
283,Article Usage,The player scored a goal during a soccer match.,The player scored a goal during the soccer match.
284,Article Usage,The speaker is giving a presentation on a social issues.,The speaker is giving a presentation on social issues.
285,Article Usage,The tourists are exploring a city on a guided tour.,The tourists are exploring the city on a guided tour.
286,Article Usage,The employees are attending a training session at a company.,The employees are attending a training session at the company.
287,Article Usage,The crowd is cheering for a home team at a sports event.,The crowd is cheering for the home team at the sports event.
288,Article Usage,The scientist is conducting a research on a climate change.,The scientist is conducting research on climate change.
289,Article Usage,The chef is cooking a meal using a fresh ingredients.,The chef is cooking a meal using fresh ingredients.
290,Article Usage,The hikers are enjoying a view from a top of a mountain.,The hikers are enjoying the view from the top of the mountain.
291,Article Usage,The teacher is helping a students with a homework assignments.,The teacher is helping the students with their homework assignments.
292,Article Usage,The passengers are boarding a plane at a gate.,The passengers are boarding the plane at the gate.
293,Article Usage,The couple is celebrating a anniversary with a special dinner.,The couple is celebrating their anniversary with a special dinner.
294,Article Usage,The athlete is preparing for a competition by training a hard.,The athlete is preparing for the competition by training hard.
295,Article Usage,The artist is displaying a paintings in a gallery.,The artist is displaying paintings in the gallery.
296,Article Usage,The team is working together to solve a problem.,The team is working together to solve the problem.
297,Article Usage,The workers are repairing a damaged road.,The workers are repairing the damaged road.
298,Article Usage,The children are enjoying a ride at a amusement park.,The children are enjoying a ride at the amusement park.
299,Article Usage,The flowers are adding a color and a beauty to a garden.,The flowers are adding color and beauty to the garden.
300,Article Usage,The family is visiting a famous landmarks during a vacation.,The family is visiting famous landmarks during their vacation.
301,Preposition Usage,"In Friday, I will go to the party.","On Friday, I will go to the party."
302,Preposition Usage,He is interested to learn guitar.,He is interested in learning guitar.
303,Preposition Usage,She took the keys out her pocket.,She took the keys out of her pocket.
304,Preposition Usage,The cat is hiding under the table.,The cat is hiding beneath the table.
305,Preposition Usage,My friend lives on New York City.,My friend lives in New York City.
306,Preposition Usage,She always listens music after work.,She always listens to music after work.
307,Preposition Usage,I met him outside the house.,I met him outside of the house.
308,Preposition Usage,They're going on the beach this weekend.,They're going to the beach this weekend.
309,Preposition Usage,The book is laying over the desk.,The book is lying on the desk.
310,Preposition Usage,I have been waiting him since morning.,I have been waiting for him since morning.
311,Preposition Usage,She will arrive at Monday night.,She will arrive on Monday night.
312,Preposition Usage,He works as a teacher in a school.,He works as a teacher at a school.
313,Preposition Usage,The cake is divided between four people.,The cake is divided among four people.
314,Preposition Usage,I prefer coffee instead tea.,I prefer coffee instead of tea.
315,Preposition Usage,The plane flew over the mountains.,The plane flew above the mountains.
316,Preposition Usage,We walked through the park.,We walked across the park.
317,Preposition Usage,I found the book on the library.,I found the book in the library.
318,Preposition Usage,They're going for a walk along the river.,They're going for a walk beside the river.
319,Preposition Usage,She is waiting the bus stop.,She is waiting at the bus stop.
320,Preposition Usage,I need to talk with him about the project.,I need to talk to him about the project.
321,Preposition Usage,He threw the ball inside the window.,He threw the ball through the window.
322,Preposition Usage,She looked around the room.,She looked about the room.
323,Preposition Usage,The meeting is scheduled on 2 PM.,The meeting is scheduled at 2 PM.
324,Preposition Usage,The museum is located at Washington.,The museum is located in Washington.
325,Preposition Usage,He was leaning against the wall.,He was leaning on the wall.
326,Preposition Usage,She sat beside the window.,She sat next to the window.
327,Preposition Usage,They walked among the trees.,They walked amidst the trees.
328,Preposition Usage,The ice cream shop is near the park.,The ice cream shop is close to the park.
329,Preposition Usage,She is traveling by train.,She is traveling on a train.
330,Preposition Usage,The birds were flying over the lake.,The birds were flying above the lake.
331,Preposition Usage,He is good at playing football.,He is skilled in playing football.
332,Preposition Usage,I am looking forward to meet you.,I am looking forward to meeting you.
333,Preposition Usage,She kept her purse beside the table.,She kept her purse next to the table.
334,Preposition Usage,I will come back from work in 5 PM.,I will come back from work at 5 PM.
335,Preposition Usage,The movie is based in a true story.,The movie is based on a true story.
336,Preposition Usage,They're standing in the entrance.,They're standing at the entrance.
337,Preposition Usage,The train arrives on 3 PM.,The train arrives at 3 PM.
338,Preposition Usage,The concert will be held in the stadium.,The concert will be held at the stadium.
339,Preposition Usage,He is waiting outside the doctor's office.,He is waiting outside of the doctor's office.
340,Preposition Usage,The dog jumped in the fence.,The dog jumped over the fence.
341,Preposition Usage,She is an expert at cooking Italian dishes.,She is an expert in cooking Italian dishes.
342,Preposition Usage,The library is close on Sundays.,The library is closed on Sundays.
343,Preposition Usage,The store is located in the corner.,The store is located at the corner.
344,Preposition Usage,They met at the party on Saturday night.,They met at the party on Saturday evening.
345,Preposition Usage,The cat climbed up the tree.,The cat climbed up into the tree.
346,Preposition Usage,He's working as a waiter in the restaurant.,He's working as a waiter at the restaurant.
347,Preposition Usage,They were surprised with the news.,They were surprised by the news.
348,Preposition Usage,She was hiding behind the door.,She was hiding in back of the door.
349,Preposition Usage,We arrived to the party late.,We arrived at the party late.
350,Preposition Usage,The car is parked in front the house.,The car is parked in front of the house.
351,Preposition Usage,She was talking in the phone.,She was talking on the phone.
352,Preposition Usage,I will meet you in the airport.,I will meet you at the airport.
353,Preposition Usage,The students are sitting on the classroom.,The students are sitting in the classroom.
354,Preposition Usage,The plane will depart in 30 minutes.,The plane will depart after 30 minutes.
355,Preposition Usage,The package was delivered on her.,The package was delivered to her.
356,Preposition Usage,He is waiting in the bus stop.,He is waiting at the bus stop.
